50000.0,62.5
100000.0,41.1
150000.0,40.1
200000.0,38.9
250000.0,38.3
300000.0,40.9
350000.0,40.7
400000.0,40.8
450000.0,40.2
500000.0,40.0
550000.0,38.2
600000.0,38.7
650000.0,38.4
700000.0,38.3
750000.0,39.2
800000.0,38.5
850000.0,38.3
900000.0,39.4
950000.0,38.5
1000000.0,38.3
1050000.0,34.2
1100000.0,29.8
1150000.0,31.1
1200000.0,30.1
1250000.0,30.4
1300000.0,28.9
1350000.0,29.6
1400000.0,29.1
1450000.0,29.2
1500000.0,29.3
1550000.0,38.5
1600000.0,38.4
1650000.0,38.5
1700000.0,38.1
1750000.0,38.6
1800000.0,38.4
1850000.0,38.4
1900000.0,38.3
1950000.0,38.3
2000000.0,39.7
